Timestamp,CPU (%),Memory VSZ (KB)
2025-01-13 15:42:04, 0.9,108016
2025-01-13 15:42:05, 0.9,108016
2025-01-13 15:42:06, 0.9,108016
2025-01-13 15:42:07, 0.9,108016
2025-01-13 15:42:08, 0.9,108036
2025-01-13 15:42:10, 0.9,108036
2025-01-13 15:42:11, 0.9,108036
2025-01-13 15:42:12, 0.9,108036
2025-01-13 15:42:13, 0.9,108036
2025-01-13 15:42:14, 0.9,108036
2025-01-13 15:42:15, 0.9,108036
2025-01-13 15:42:16, 0.8,108036
2025-01-13 15:42:17, 0.9,108036
2025-01-13 15:42:18, 0.8,108036
2025-01-13 15:42:19, 0.8,108036
2025-01-13 15:42:20, 0.8,108016
2025-01-13 15:42:21, 0.8,108016
2025-01-13 15:42:22, 0.8,108016
2025-01-13 15:42:23, 0.9,108016
2025-01-13 15:42:24, 0.8,108016
2025-01-13 15:42:25, 0.9,108016
2025-01-13 15:42:26, 0.9,108016
2025-01-13 15:42:27, 0.9,108016
2025-01-13 15:42:28, 0.9,108016
2025-01-13 15:42:29, 0.9,108016
2025-01-13 15:42:30, 0.9,108036
2025-01-13 15:42:31, 0.9,108036
2025-01-13 15:42:32, 0.9,108036
2025-01-13 15:42:33, 0.9,108036
2025-01-13 15:42:34, 0.9,108036
2025-01-13 15:42:35, 0.9,108036
2025-01-13 15:42:36, 0.9,108036
2025-01-13 15:42:37, 0.8,108036
2025-01-13 15:42:38, 0.9,108036
2025-01-13 15:42:39, 0.8,108036
2025-01-13 15:42:41, 0.9,108036
2025-01-13 15:42:42, 0.8,108016
2025-01-13 15:42:43, 0.8,108016
2025-01-13 15:42:44, 0.8,108016
2025-01-13 15:42:45, 0.8,108016
2025-01-13 15:42:46, 0.9,108016
2025-01-13 15:42:47, 0.9,108016
2025-01-13 15:42:48, 0.9,108016
2025-01-13 15:42:49, 0.8,108016
2025-01-13 15:42:50, 0.8,108016
2025-01-13 15:42:51, 0.8,108016
2025-01-13 15:42:52, 0.8,108036
2025-01-13 15:42:53, 0.8,108036
2025-01-13 15:42:54, 0.8,108036
2025-01-13 15:42:55, 0.8,108036
2025-01-13 15:42:56, 0.8,108036
2025-01-13 15:42:57, 0.8,108036
2025-01-13 15:42:58, 0.8,108036
2025-01-13 15:42:59, 0.8,108036
